student_id,voted_for
S0001,Rosanne
S0002,Rosanne
S0003,Rosanne
S0004,Rosanne
S0005,Marcus
S0006,Rosanne
S0007,Marcus
S0008,Rosanne
S0009,Marcus
S0010,Marcus
S0011,Rosanne
S0012,Marcus
S0013,Rosanne
S0014,Rosanne
S0015,Marcus
S0016,Marcus
S0017,Marcus
S0018,Marcus
S0019,Rosanne
S0020,Rosanne
S0021,Marcus
S0022,Rosanne
S0023,Marcus
S0024,Marcus
S0025,Marcus
S0026,Rosanne
S0027,Rosanne
S0028,Rosanne
S0029,Marcus
S0030,Rosanne
S0031,Marcus
S0032,Rosanne
S0033,Marcus
S0034,Rosanne
S0035,Marcus
S0036,Rosanne
S0037,Rosanne
S0038,Marcus
S0039,Rosanne
S0040,Marcus
S0041,Marcus
S0042,Marcus
S0043,Rosanne
S0044,Rosanne
S0045,Rosanne
S0046,Marcus
S0047,Rosanne
S0048,Marcus
S0049,Marcus
S0050,Rosanne
S0051,Marcus
S0052,Marcus
S0053,Marcus
S0054,Marcus
S0055,Rosanne
S0056,Rosanne
S0057,Rosanne
S0058,Marcus
S0059,Rosanne
S0060,Marcus
S0061,Rosanne
S0062,Rosanne
S0063,Rosanne
S0064,Marcus
S0065,Rosanne
S0066,Rosanne
S0067,Marcus
S0068,Marcus
S0069,Marcus
S0070,Rosanne
S0071,Rosanne
S0072,Marcus
S0073,Marcus
S0074,Rosanne
S0075,Rosanne
S0076,Rosanne
S0077,Rosanne
S0078,Marcus
S0079,Marcus
S0080,Marcus
S0081,Marcus
S0082,Marcus
S0083,Marcus
S0084,Rosanne
S0085,Marcus
S0086,Rosanne
S0087,Marcus
S0088,Marcus
S0089,Marcus
S0090,Rosanne
S0091,Rosanne
S0092,Marcus
S0093,Marcus
S0094,Marcus
S0095,Marcus
S0096,Rosanne
S0097,Rosanne
S0098,Rosanne
S0099,Marcus
S0100,Marcus
S0101,Marcus
S0102,Marcus
S0103,Rosanne
S0104,Marcus
S0105,Rosanne
S0106,Marcus
S0107,Marcus
S0108,Rosanne
S0109,Marcus
S0110,Rosanne
S0111,Rosanne
S0112,Marcus
S0113,Marcus
S0114,Marcus
S0115,Rosanne
S0116,Marcus
S0117,Marcus
S0118,Marcus
S0119,Marcus
S0120,Marcus
S0121,Rosanne
S0122,Marcus
S0123,Rosanne
S0124,Rosanne
S0125,Rosanne
S0126,Rosanne
S0127,Rosanne
S0128,Rosanne
S0129,Marcus
S0130,Rosanne
S0131,Rosanne
S0132,Marcus
S0133,Marcus
S0134,Marcus
S0135,Marcus
S0136,Rosanne
S0137,Rosanne
S0138,Rosanne
S0139,Rosanne
S0140,Marcus
S0141,Rosanne
S0142,Marcus
S0143,Rosanne
S0144,Marcus
S0145,Rosanne
S0146,Rosanne
S0147,Rosanne
S0148,Marcus
S0149,Rosanne
S0150,Rosanne
S0151,Marcus
S0152,Marcus
S0153,Rosanne
S0154,Rosanne
S0155,Marcus
S0156,Marcus
S0157,Marcus
S0158,Rosanne
S0159,Rosanne
S0160,Rosanne
S0161,Marcus
S0162,Rosanne
S0163,Marcus
S0164,Marcus
S0165,Rosanne
S0166,Marcus
S0167,Rosanne
S0168,Marcus
S0169,Rosanne
S0170,Rosanne
S0171,Rosanne
S0172,Marcus
S0173,Rosanne
S0174,Marcus
S0175,Rosanne
S0176,Rosanne
S0177,Marcus
S0178,Marcus
S0179,Marcus
S0180,Marcus
S0181,Rosanne
S0182,Marcus
S0183,Rosanne
S0184,Marcus
S0185,Rosanne
S0186,Marcus
S0187,Marcus
S0188,Marcus
S0189,Marcus
S0190,Rosanne
S0191,Marcus
S0192,Marcus
S0193,Marcus
S0194,Rosanne
S0195,Marcus
S0196,Marcus
S0197,Marcus
S0198,Rosanne
S0199,Marcus
S0200,Marcus
S0201,Marcus
S0202,Marcus
S0203,Rosanne
S0204,Marcus
S0205,Rosanne
