"","RESPONDENT_RACE","PARTNER_RACE","respondent_education","partner_education","PPPARTYID3","Q12"
"1","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"3","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"4","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"5","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"6","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"7","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"8","(1) NH white","(2) NH black","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"9","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"10","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"11","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"12","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"13","(1) NH white","(2) NH black","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"14","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"15","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"16","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"17","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"18","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"19","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"20","(6) Hispanic","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"21","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(3) independent"
"22","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"23","(1) NH white","(4) NH Asian Pac Islander","Bachelors","Bachelors","(3) democrat","(3) independent"
"24","(6) Hispanic","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"25","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"26","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"27","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"28","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"29","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"30","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"31","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"32","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"33","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"34","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(5) no preference"
"35","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"36","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"37","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"38","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"39","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"40","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"41","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
